qtl_subset	qtl_ss	qtl_ss_index	qtl_credible_set_or_perm
Alasoo_2018.macrophage_IFNg_txrev	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/Alasoo_2018.macrophage_IFNg_txrev.nominal.sorted.tsv.gz	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/Alasoo_2018.macrophage_IFNg_txrev.nominal.sorted.tsv.gz.tbi	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/Alasoo_2018.macrophage_IFNg_txrev.permuted.txt.gz
Alasoo_2018.macrophage_IFNg+Salmonella_txrev	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/Alasoo_2018.macrophage_IFNg+Salmonella_txrev.nominal.sorted.tsv.gz	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/Alasoo_2018.macrophage_IFNg+Salmonella_txrev.nominal.sorted.tsv.gz.tbi	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/Alasoo_2018.macrophage_IFNg+Salmonella_txrev.permuted.txt.gz
Alasoo_2018.macrophage_naive_txrev	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/Alasoo_2018.macrophage_naive_txrev.nominal.sorted.tsv.gz	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/Alasoo_2018.macrophage_naive_txrev.nominal.sorted.tsv.gz.tbi	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/Alasoo_2018.macrophage_naive_txrev.permuted.txt.gz
Alasoo_2018.macrophage_Salmonella_txrev	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/Alasoo_2018.macrophage_Salmonella_txrev.nominal.sorted.tsv.gz	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/Alasoo_2018.macrophage_Salmonella_txrev.nominal.sorted.tsv.gz.tbi	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/Alasoo_2018.macrophage_Salmonella_txrev.permuted.txt.gz
BLUEPRINT_PE.T-cell_txrev	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/BLUEPRINT_PE.T-cell_txrev.nominal.sorted.tsv.gz	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/BLUEPRINT_PE.T-cell_txrev.nominal.sorted.tsv.gz.tbi	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/BLUEPRINT_PE.T-cell_txrev.permuted.txt.gz
BLUEPRINT_SE.monocyte_txrev	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/BLUEPRINT_SE.monocyte_txrev.nominal.sorted.tsv.gz	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/BLUEPRINT_SE.monocyte_txrev.nominal.sorted.tsv.gz.tbi	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/BLUEPRINT_SE.monocyte_txrev.permuted.txt.gz
BLUEPRINT_SE.neutrophil_txrev	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/BLUEPRINT_SE.neutrophil_txrev.nominal.sorted.tsv.gz	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/BLUEPRINT_SE.neutrophil_txrev.nominal.sorted.tsv.gz.tbi	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/BLUEPRINT_SE.neutrophil_txrev.permuted.txt.gz
BrainSeq.brain_txrev	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/BrainSeq.brain_txrev.nominal.sorted.tsv.gz	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/BrainSeq.brain_txrev.nominal.sorted.tsv.gz.tbi	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/BrainSeq.brain_txrev.permuted.txt.gz
FUSION.adipose_naive_txrev	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/FUSION.adipose_naive_txrev.nominal.sorted.tsv.gz	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/FUSION.adipose_naive_txrev.nominal.sorted.tsv.gz.tbi	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/FUSION.adipose_naive_txrev.permuted.txt.gz
FUSION.muscle_naive_txrev	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/FUSION.muscle_naive_txrev.nominal.sorted.tsv.gz	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/FUSION.muscle_naive_txrev.nominal.sorted.tsv.gz.tbi	/gpfs/hpc/projects/eQTLCatalogue/qtlmap/eQTL_Catalogue_r3/pipeline_out/sumstats/FUSION.muscle_naive_txrev.permuted.txt.gz
